method n p rho rep time mse
0 10000 100 0.2 1 0.366 0.0286885851886583
1 10000 100 0.2 1 0.0860000000000003 0.0286885851886581
2 10000 100 0.2 1 0.0959999999999992 0.232484762024236
3 10000 100 0.2 1 0.168 0.232485062097453
0 10000 100 0.2 2 0.34 0.0282558150473791
1 10000 100 0.2 2 0.0839999999999996 0.0282558150473793
2 10000 100 0.2 2 0.0910000000000002 0.232583774087999
3 10000 100 0.2 2 0.166 0.232584064022473
0 10000 100 0.2 3 0.332 0.0237911615420662
1 10000 100 0.2 3 0.0840000000000005 0.0237911615420661
2 10000 100 0.2 3 0.0899999999999999 0.232503704852879
3 10000 100 0.2 3 0.167000000000001 0.2325040029364
