method n p rho rep time mse
0 100 5000 0.1 1 0.195 0.0322186806225329
1 100 5000 0.1 1 0.243 0.032218680622533
2 100 5000 0.1 1 0.162 0.0329798835183384
3 100 5000 0.1 1 0.166 0.0329832743921412
0 100 5000 0.1 2 0.0979999999999999 0.0339159933738395
1 100 5000 0.1 2 0.261 0.0339159933738396
2 100 5000 0.1 2 0.253 0.0329824516652134
3 100 5000 0.1 2 0.166 0.0329727890634472
0 100 5000 0.1 3 0.0970000000000004 0.0319516190937979
1 100 5000 0.1 3 0.244 0.0319516190937982
2 100 5000 0.1 3 0.157 0.0329765386291748
3 100 5000 0.1 3 0.162999999999999 0.0329753425661555
