method n p rho rep time mse
0 100 20000 0.95 1 1.09 0.0159219842590134
1 100 20000 0.95 1 5.924 0.0159219842590134
2 100 20000 0.95 1 1.076 0.0166033066031194
3 100 20000 0.95 1 0.965999999999999 0.0166049416258173
0 100 20000 0.95 2 1.281 0.0161626262891172
1 100 20000 0.95 2 5.535 0.016162626289117
2 100 20000 0.95 2 1.047 0.0166310555259002
3 100 20000 0.95 2 0.870999999999999 0.0166051850648567
0 100 20000 0.95 3 1.041 0.0160584630181397
1 100 20000 0.95 3 5.337 0.0160584630181395
2 100 20000 0.95 3 0.841000000000001 0.0166223981375188
3 100 20000 0.95 3 1.277 0.0166048446493895
