method n p rho rep time mse
0 5000 5000 0.2 1 30.032 0.0197187403828375
1 5000 5000 0.2 1 144.598 0.0196064065688918
2 5000 5000 0.2 1 0.516999999999996 0.0330521788786527
3 5000 5000 0.2 1 0.855999999999995 0.0330531873948274
0 5000 5000 0.2 2 27.723 0.0195061434743122
1 5000 5000 0.2 2 142.153 0.0194163468297769
2 5000 5000 0.2 2 0.561000000000035 0.0330519444777236
3 5000 5000 0.2 2 0.950999999999965 0.0330529707177629
0 5000 5000 0.2 3 29.401 0.0194630623006237
1 5000 5000 0.2 3 141.565 0.0194098227977417
2 5000 5000 0.2 3 0.494000000000028 0.0330511965262827
3 5000 5000 0.2 3 0.833999999999946 0.0330522142047083
