method n p rho rep time mse
0 1000 5000 0.2 1 1.917 0.0133312982117385
1 1000 5000 0.2 1 13.071 0.0133312982117385
2 1000 5000 0.2 1 0.164999999999999 0.033180954564456
3 1000 5000 0.2 1 0.272000000000002 0.0331811786832708
0 1000 5000 0.2 2 1.881 0.0138668922287883
1 1000 5000 0.2 2 12.575 0.0138668922287883
2 1000 5000 0.2 2 0.140000000000001 0.0331817190525755
3 1000 5000 0.2 2 0.270000000000003 0.0331819363918933
0 1000 5000 0.2 3 1.884 0.0139538041186981
1 1000 5000 0.2 3 12.695 0.0139538041186981
2 1000 5000 0.2 3 0.142999999999994 0.0331829935637479
3 1000 5000 0.2 3 0.241 0.0331831967757415
