method n p rho rep time mse
0 1e+06 100 0.95 1 498.488 0.0714495527891756
1 1e+06 100 0.95 1 19.934 0.0714495527891336
2 1e+06 100 0.95 1 21.5889999999999 0.0864795817863426
3 1e+06 100 0.95 1 37.3680000000001 0.0866511428819905
0 1e+06 100 0.95 2 517.041 0.0718095580886371
1 1e+06 100 0.95 2 20.595 0.0718095580887179
2 1e+06 100 0.95 2 21.8609999999999 0.086809811109263
3 1e+06 100 0.95 2 37.703 0.0869812632535346
0 1e+06 100 0.95 3 525.306 0.0745092397990643
1 1e+06 100 0.95 3 19.5640000000001 0.0745092397989708
2 1e+06 100 0.95 3 21.0809999999999 0.086612776192872
3 1e+06 100 0.95 3 36.443 0.0867831563632536
