method n p rho rep time mse
0 1000 20000 0.9 1 3.829 0.013944000535211
1 1000 20000 0.9 1 24.11 0.013944000535211
2 1000 20000 0.9 1 0.579000000000001 0.0165915017882609
3 1000 20000 0.9 1 0.845999999999997 0.0165938883814103
0 1000 20000 0.9 2 3.909 0.0130253966396365
1 1000 20000 0.9 2 26.203 0.0130253966396365
2 1000 20000 0.9 2 0.405000000000001 0.0165924709257083
3 1000 20000 0.9 2 0.676000000000002 0.0165946452584377
0 1000 20000 0.9 3 3.925 0.0134179058732262
1 1000 20000 0.9 3 26.237 0.0134179058732262
2 1000 20000 0.9 3 0.367000000000004 0.0165922993418477
3 1000 20000 0.9 3 0.61999999999999 0.0165945055281435
