method n p rho rep time mse
0 1000 20000 0.2 1 3.512 0.00651877103023398
1 1000 20000 0.2 1 36.624 0.00651877103023392
2 1000 20000 0.2 1 0.399000000000001 0.0165916381755085
3 1000 20000 0.2 1 0.678000000000004 0.0165920348683846
0 1000 20000 0.2 2 3.92599999999999 0.00687043864149219
1 1000 20000 0.2 2 40.166 0.00687043864149217
2 1000 20000 0.2 2 0.390000000000001 0.0165919250307907
3 1000 20000 0.2 2 0.659999999999997 0.0165923150733416
0 1000 20000 0.2 3 4.20699999999999 0.00658532605241704
1 1000 20000 0.2 3 37.61 0.00658532605241702
2 1000 20000 0.2 3 0.396999999999991 0.0165909255804404
3 1000 20000 0.2 3 0.703000000000003 0.0165913497309548
