method n p rho rep time mse
0 1e+05 100 0.2 1 3.399 0.0268047526859618
1 1e+05 100 0.2 1 0.962999999999999 0.0268047526859627
2 1e+05 100 0.2 1 0.981 0.212403784372834
3 1e+05 100 0.2 1 1.692 0.212406499252723
0 1e+05 100 0.2 2 3.36 0.026564656644519
1 1e+05 100 0.2 2 1.023 0.0265646566445203
2 1e+05 100 0.2 2 0.975000000000001 0.212542346011809
3 1e+05 100 0.2 2 1.677 0.212545030127415
0 1e+05 100 0.2 3 3.608 0.0265972495047585
1 1e+05 100 0.2 3 1.022 0.0265972495047584
2 1e+05 100 0.2 3 1.072 0.212506156448502
3 1e+05 100 0.2 3 1.739 0.212508851636302
