method n p rho rep time mse
0 10000 1000 0.5 1 5.652 0.0135538964552352
1 10000 1000 0.5 1 14.424 0.0135542467438541
2 10000 1000 0.5 1 1.052 0.0358907081214468
3 10000 1000 0.5 1 1.282 0.0194226379717771
0 10000 1000 0.5 2 5.341 0.0135807894979851
1 10000 1000 0.5 2 11.298 0.0135808908072866
2 10000 1000 0.5 2 0.614000000000004 0.037961706235663
3 10000 1000 0.5 2 0.917999999999999 0.0203575676907663
0 10000 1000 0.5 3 5.342 0.0134740603291211
1 10000 1000 0.5 3 16.13 0.0134723995350108
2 10000 1000 0.5 3 0.781999999999996 0.0415552474175054
3 10000 1000 0.5 3 0.850999999999999 0.0196207995947972
