method n p rho rep time mse
0 100 50000 0.2 1 1.54 0.0111525837548912
1 100 50000 0.2 1 3.565 0.0111525837548911
2 100 50000 0.2 1 0.0950000000000006 0.010503079857448
3 100 50000 0.2 1 0.151 0.01050312880772
0 100 50000 0.2 2 1.112 0.0104300590580203
1 100 50000 0.2 2 3.183 0.0104300590580204
2 100 50000 0.2 2 0.0940000000000012 0.0105029621678816
3 100 50000 0.2 2 0.166 0.0105030179137985
0 100 50000 0.2 3 1.124 0.0102792779201824
1 100 50000 0.2 3 3.017 0.0102792779201824
2 100 50000 0.2 3 0.093 0.0105030822385808
3 100 50000 0.2 3 0.163 0.0105031320774004
