method n p rho rep time mse
0 10000 5000 0 1 35 0.0137447881248812
1 10000 5000 0 1 253.84 0.0136273372506349
2 10000 5000 0 1 1.084 0.032887456419927
3 10000 5000 0 1 1.774 0.0328890802838967
0 10000 5000 0 2 28.601 0.0139952930081423
1 10000 5000 0 2 249.359 0.0139847691087708
2 10000 5000 0 2 1.05200000000002 0.0328842423714764
3 10000 5000 0 2 1.77499999999998 0.0328858820123521
0 10000 5000 0 3 28.283 0.0141966224772316
1 10000 5000 0 3 248.927 0.014132085850905
2 10000 5000 0 3 1.07100000000003 0.0328762837615416
3 10000 5000 0 3 1.75800000000004 0.0328779613419225
