method n p rho rep time mse
0 5000 5000 0.1 1 34.033 0.0196996567310732
1 5000 5000 0.1 1 162.713 0.0195970800345952
2 5000 5000 0.1 1 1.31299999999999 0.0250934115794037
3 5000 5000 0.1 1 1.72900000000001 0.0245401251478124
0 5000 5000 0.1 2 35.488 0.019716826384602
1 5000 5000 0.1 2 171.782 0.0197287263255155
2 5000 5000 0.1 2 1.32499999999999 0.0252745176189426
3 5000 5000 0.1 2 1.71699999999998 0.0246954411876207
0 5000 5000 0.1 3 33.199 0.0195606289368992
1 5000 5000 0.1 3 167.811 0.0194111388998681
2 5000 5000 0.1 3 1.32000000000005 0.0249504784093846
3 5000 5000 0.1 3 1.72099999999989 0.0244266833201367
