method n p rho rep time mse
0 1e+06 100 0.1 1 45.022 0.026946062552805
1 1e+06 100 0.1 1 8.849 0.0269460625528041
2 1e+06 100 0.1 1 10.164 0.00973129102451855
3 1e+06 100 0.1 1 16.26 0.00967780664061906
0 1e+06 100 0.1 2 35.182 0.0271144540391117
1 1e+06 100 0.1 2 8.07599999999999 0.0271144540391118
2 1e+06 100 0.1 2 9.869 0.0101037328073924
3 1e+06 100 0.1 2 15.986 0.0100508423628081
0 1e+06 100 0.1 3 34.956 0.0271429412552381
1 1e+06 100 0.1 3 7.85400000000001 0.0271429412552372
2 1e+06 100 0.1 3 9.93299999999999 0.00948817580701013
3 1e+06 100 0.1 3 16.236 0.009434630903399
