method n p rho rep time mse
0 100 100 0.5 1 0.134 0.227205623476443
1 100 100 0.5 1 0.0790000000000002 0.227205623476443
2 100 100 0.5 1 0.00100000000000033 0.234849414689131
3 100 100 0.5 1 0.00199999999999978 0.234849419160604
0 100 100 0.5 2 0.0980000000000003 0.228585999659804
1 100 100 0.5 2 0.0430000000000001 0.228585999659804
2 100 100 0.5 2 0.00200000000000022 0.234852928509509
3 100 100 0.5 2 0.00099999999999989 0.234852933597208
0 100 100 0.5 3 0.073 0.213124705402311
1 100 100 0.5 3 0.0670000000000002 0.213077201357485
2 100 100 0.5 3 0.00199999999999978 0.234849630257445
3 100 100 0.5 3 0.00300000000000011 0.234849635578989
