method n p rho rep time mse
0 100 50000 0 1 2.29 0.0100674870554587
1 100 50000 0 1 5.081 0.0100674870554587
2 100 50000 0 1 2.392 0.0104948867954422
3 100 50000 0 1 2.328 0.0104947423268324
0 100 50000 0 2 1.67 0.0104909211528984
1 100 50000 0 2 5.484 0.0104909211528984
2 100 50000 0 2 2.109 0.0104949241692856
3 100 50000 0 2 2.258 0.0104946500800217
0 100 50000 0 3 1.866 0.0103722196488442
1 100 50000 0 3 6.096 0.0103722196488441
2 100 50000 0 3 2.749 0.0104948125994932
3 100 50000 0 3 2.774 0.0104947003968738
