method n p rho rep time mse
0 100 100 0.2 1 0.052 0.230712287557308
1 100 100 0.2 1 0.0380000000000003 0.231594813699765
2 100 100 0.2 1 0.00099999999999989 0.234851765953963
3 100 100 0.2 1 0.00199999999999978 0.234851769043177
0 100 100 0.2 2 0.0310000000000001 0.190529459901854
1 100 100 0.2 2 0.0230000000000001 0.190529459901856
2 100 100 0.2 2 0 0.234857487392104
3 100 100 0.2 2 0.00199999999999978 0.234857489702275
0 100 100 0.2 3 0.0939999999999999 0.218964580411994
1 100 100 0.2 3 0.0539999999999998 0.216352689971454
2 100 100 0.2 3 0.00100000000000033 0.234855482709284
3 100 100 0.2 3 0.00099999999999989 0.23485548544241
