method n p rho rep time mse
0 1000 5000 0.95 1 2.717 0.0305890115947159
1 1000 5000 0.95 1 5.407 0.0305890115947159
2 1000 5000 0.95 1 0.186 0.0331815784245132
3 1000 5000 0.95 1 0.346 0.0331841844183437
0 1000 5000 0.95 2 9.36 0.0307246236231883
1 1000 5000 0.95 2 6.347 0.0307246236231883
2 1000 5000 0.95 2 0.256 0.0331826200128646
3 1000 5000 0.95 2 0.474000000000004 0.0331855073091921
0 1000 5000 0.95 3 4.445 0.0308012089204914
1 1000 5000 0.95 3 5.121 0.0308012089204914
2 1000 5000 0.95 3 0.269999999999996 0.0331854027369842
3 1000 5000 0.95 3 0.478999999999999 0.0331879046175936
