method n p rho rep time mse
0 5000 1000 0.5 1 5.873 0.0196957518834873
1 5000 1000 0.5 1 15.134 0.0196930394340482
2 5000 1000 0.5 1 0.841999999999999 0.0440514109097117
3 5000 1000 0.5 1 1.054 0.0294260251959922
0 5000 1000 0.5 2 9.436 0.0203651937341198
1 5000 1000 0.5 2 10.598 0.0203622716411299
2 5000 1000 0.5 2 0.800000000000004 0.057036268167042
3 5000 1000 0.5 2 1.118 0.0285255420516663
0 5000 1000 0.5 3 8.959 0.0198118974221727
1 5000 1000 0.5 3 16.197 0.0198131485005546
2 5000 1000 0.5 3 0.74199999999999 0.0490338090857187
3 5000 1000 0.5 3 0.956000000000003 0.028598320372649
