method n p rho rep time mse
0 1000 100 0.95 1 0.308 0.0669799838976461
1 1000 100 0.95 1 0.0300000000000002 0.0669799838976461
2 1000 100 0.95 1 0.0089999999999999 0.234581458784763
3 1000 100 0.95 1 0.0169999999999999 0.234581922714473
0 1000 100 0.95 2 0.305 0.075890704200315
1 1000 100 0.95 2 0.0299999999999994 0.0758907042003162
2 1000 100 0.95 2 0.0100000000000007 0.234583177156996
3 1000 100 0.95 2 0.0189999999999992 0.234583760970892
0 1000 100 0.95 3 0.212000000000001 0.0830142069877953
1 1000 100 0.95 3 0.0249999999999995 0.0830142069877921
2 1000 100 0.95 3 0.0109999999999992 0.234601965440352
3 1000 100 0.95 3 0.0179999999999998 0.234602428445977
