method n p rho rep time mse
0 5000 20000 0.5 1 46.665 0.00551499093990612
1 5000 20000 0.5 1 944.719 0.00551499093990611
2 5000 20000 0.5 1 5.46499999999992 0.0165246393443264
3 5000 20000 0.5 1 8.14400000000001 0.0165276679599282
0 5000 20000 0.5 2 46.7369999999999 0.00530562892727125
1 5000 20000 0.5 2 1012.179 0.0053056289272712
2 5000 20000 0.5 2 4.8739999999998 0.0165271181597242
3 5000 20000 0.5 2 7.54100000000017 0.0165301477139709
0 5000 20000 0.5 3 46.7109999999998 0.00535592790485167
1 5000 20000 0.5 3 995.239 0.00535592790485166
2 5000 20000 0.5 3 4.86299999999983 0.016525485709026
3 5000 20000 0.5 3 7.51000000000022 0.0165285640156371
