method n p rho rep time mse
0 100 5000 0.95 1 0.829000000000001 0.0333559841902172
1 100 5000 0.95 1 1.078 0.0333559841902172
2 100 5000 0.95 1 0.016 0.0332138696172191
3 100 5000 0.95 1 0.0259999999999998 0.0332140343882166
0 100 5000 0.95 2 0.288 0.031145596453554
1 100 5000 0.95 2 1.205 0.0311455964535544
2 100 5000 0.95 2 0.0139999999999993 0.0332124058307106
3 100 5000 0.95 2 0.0260000000000016 0.0332127790414161
0 100 5000 0.95 3 0.618 0.0330464313988478
1 100 5000 0.95 3 1.106 0.0330464313988477
2 100 5000 0.95 3 0.0169999999999995 0.0332126860913586
3 100 5000 0.95 3 0.0259999999999998 0.0332129388531628
