method n p rho rep time mse
0 100 1000 0.95 1 0.145 0.0664816599958357
1 100 1000 0.95 1 0.306 0.0664816598651535
2 100 1000 0.95 1 0.00400000000000045 0.0742655022039935
3 100 1000 0.95 1 0.00899999999999945 0.0742655929986885
0 100 1000 0.95 2 0.148000000000001 0.0722788451192002
1 100 1000 0.95 2 0.286 0.0722788451192006
2 100 1000 0.95 2 0.00600000000000023 0.0742647441100727
3 100 1000 0.95 2 0.00800000000000001 0.0742648669142735
0 100 1000 0.95 3 0.201000000000001 0.0731541088441307
1 100 1000 0.95 3 0.284999999999999 0.0731541088441307
2 100 1000 0.95 3 0.00700000000000056 0.0742664364592531
3 100 1000 0.95 3 0.00899999999999945 0.0742665830827583
