method n p rho rep time mse
0 100 100 0.9 1 0.153 0.213019035684926
1 100 100 0.9 1 0.107 0.213084438705671
2 100 100 0.9 1 0.00100000000000033 0.234850191836934
3 100 100 0.9 1 0.00200000000000022 0.234850217837345
0 100 100 0.9 2 0.171 0.215598924125005
1 100 100 0.9 2 0.131 0.215598924125005
2 100 100 0.9 2 0 0.234849753560328
3 100 100 0.9 2 0.00199999999999978 0.234849780508746
0 100 100 0.9 3 0.2 0.219431690896032
1 100 100 0.9 3 0.153 0.219431690896032
2 100 100 0.9 3 0.000999999999999446 0.234843778688495
3 100 100 0.9 3 0.00200000000000067 0.234843824232555
