method n p rho rep time mse
0 10000 1000 0.95 1 23.846 0.0186854563059307
1 10000 1000 0.95 1 11.979 0.0186854563059295
2 10000 1000 0.95 1 0.616999999999997 0.0858162362144764
3 10000 1000 0.95 1 0.853000000000002 0.0543792488613833
0 10000 1000 0.95 2 21.813 0.0180926287760601
1 10000 1000 0.95 2 13.565 0.0180926287760563
2 10000 1000 0.95 2 0.61099999999999 0.0781477839202329
3 10000 1000 0.95 2 0.861999999999995 0.0540954073448492
0 10000 1000 0.95 3 18.445 0.017933385045909
1 10000 1000 0.95 3 11.111 0.0179333850459089
2 10000 1000 0.95 3 0.641999999999996 0.133958709114344
3 10000 1000 0.95 3 0.816000000000003 0.0541760467438764
