method n p rho rep time mse
0 5000 20000 0.95 1 67.978 0.0153509869595663
1 5000 20000 0.95 1 11.129 0.0153509869595663
2 5000 20000 0.95 1 14.299 0.0170725290285122
3 5000 20000 0.95 1 16.659 0.0164801646638809
0 5000 20000 0.95 2 38.963 0.0153789493370579
1 5000 20000 0.95 2 9.22800000000001 0.0153789493370579
2 5000 20000 0.95 2 11.734 0.0172433383286129
3 5000 20000 0.95 2 11.064 0.016481923061204
0 5000 20000 0.95 3 52.958 0.0153480039737188
1 5000 20000 0.95 3 8.38400000000001 0.0153480039737188
2 5000 20000 0.95 3 8.55500000000001 0.0173078766915663
3 5000 20000 0.95 3 12.776 0.0164817492128163
