method n p rho rep time mse
0 1000 100 0.1 1 0.0489999999999999 0.0425367527684527
1 1000 100 0.1 1 0.0140000000000002 0.0425367527684525
2 1000 100 0.1 1 0.0130000000000003 0.115759051457416
3 1000 100 0.1 1 0.02 0.0652134625426955
0 1000 100 0.1 2 0.0430000000000001 0.042522151491398
1 1000 100 0.1 2 0.0130000000000003 0.042522151491398
2 1000 100 0.1 2 0.0129999999999999 0.125793423443343
3 1000 100 0.1 2 0.02 0.0714812348651126
0 1000 100 0.1 3 0.0430000000000001 0.0464315427661865
1 1000 100 0.1 3 0.0140000000000002 0.0464315427661865
2 1000 100 0.1 3 0.0129999999999999 0.117474696398261
3 1000 100 0.1 3 0.0190000000000001 0.072820283186106
