method n p rho rep time mse
0 100 1000 0.2 1 0.0379999999999998 0.0549185517722789
1 100 1000 0.2 1 0.0580000000000003 0.0549185517722801
2 100 1000 0.2 1 0.00300000000000011 0.0742672095505592
3 100 1000 0.2 1 0.00599999999999978 0.0742672174218927
0 100 1000 0.2 2 0.0509999999999997 0.066433101987653
1 100 1000 0.2 2 0.111 0.0664331019876526
2 100 1000 0.2 2 0.00499999999999989 0.07426763084688
3 100 1000 0.2 2 0.00599999999999978 0.0742676395416238
0 100 1000 0.2 3 0.0419999999999998 0.0624076876247902
1 100 1000 0.2 3 0.0810000000000004 0.0624076876247898
2 100 1000 0.2 3 0.00299999999999923 0.0742663370064498
3 100 1000 0.2 3 0.00399999999999956 0.0742663470623581
