method n p rho rep time mse
0 100 100 0.1 1 0.193000000000001 0.21765474671234
1 100 100 0.1 1 0.129 0.217654746712341
2 100 100 0.1 1 0.00699999999999967 0.162781338984586
3 100 100 0.1 1 0.00900000000000034 0.171632343191789
0 100 100 0.1 2 0.146000000000001 0.214095188776044
1 100 100 0.1 2 0.0840000000000005 0.21409673556428
2 100 100 0.1 2 0.00800000000000001 0.167674334647951
3 100 100 0.1 2 0.00900000000000034 0.173136782767307
0 100 100 0.1 3 0.0819999999999999 0.195942197214016
1 100 100 0.1 3 0.0490000000000004 0.197556526673323
2 100 100 0.1 3 0.00800000000000001 0.159878738383192
3 100 100 0.1 3 0.00999999999999979 0.168936747185239
