method n p rho rep time mse
0 1e+06 100 0.5 1 96.924 0.0318623023753789
1 1e+06 100 0.5 1 18.96 0.0318623023753867
2 1e+06 100 0.5 1 16.096 0.0101741929484122
3 1e+06 100 0.5 1 26.497 0.0100727893581061
0 1e+06 100 0.5 2 120.155 0.0315172821382994
1 1e+06 100 0.5 2 18.198 0.0315172821383082
2 1e+06 100 0.5 2 15.901 0.0111436917890882
3 1e+06 100 0.5 2 26.956 0.0110541545273864
0 1e+06 100 0.5 3 90.99 0.0316866023977991
1 1e+06 100 0.5 3 18.479 0.0316866023978059
2 1e+06 100 0.5 3 15.473 0.00980319314053168
3 1e+06 100 0.5 3 26.041 0.00971184304875729
