method n p rho rep time mse
0 100 20000 0.9 1 0.933999999999999 0.0150378582411637
1 100 20000 0.9 1 5.394 0.0150378582411639
2 100 20000 0.9 1 0.9 0.0166045734246655
3 100 20000 0.9 1 0.971 0.0166030401059309
0 100 20000 0.9 2 1.006 0.0158304828563456
1 100 20000 0.9 2 5.707 0.0158304828563457
2 100 20000 0.9 2 0.865000000000002 0.0166031374578409
3 100 20000 0.9 2 1.103 0.01660347799763
0 100 20000 0.9 3 0.935000000000002 0.0153832677636905
1 100 20000 0.9 3 5.429 0.0153832677636903
2 100 20000 0.9 3 0.852999999999998 0.0166025795299264
3 100 20000 0.9 3 0.879000000000001 0.0166037413954407
