method n p rho rep time mse
0 5000 100 0.5 1 0.409 0.0291188733119588
1 5000 100 0.5 1 0.0730000000000004 0.0291188733119583
2 5000 100 0.5 1 0.0890000000000004 0.0950258059858822
3 5000 100 0.5 1 0.141999999999999 0.0615322397968336
0 5000 100 0.5 2 0.364 0.0308620176279746
1 5000 100 0.5 2 0.0720000000000001 0.0308620176279739
2 5000 100 0.5 2 0.0880000000000001 0.100931213385737
3 5000 100 0.5 2 0.141999999999999 0.051201843080558
0 5000 100 0.5 3 0.398000000000001 0.0305256819863528
1 5000 100 0.5 3 0.0729999999999995 0.0305256819863519
2 5000 100 0.5 3 0.0880000000000001 0.106672724317452
3 5000 100 0.5 3 0.139 0.0541218694911467
