method n p rho rep time mse
0 10000 100 0.5 1 0.431 0.0305151296548215
1 10000 100 0.5 1 0.0840000000000005 0.0305151296548226
2 10000 100 0.5 1 0.0949999999999998 0.23249915456297
3 10000 100 0.5 1 0.165999999999999 0.232499624734525
0 10000 100 0.5 2 0.460000000000001 0.030911844513429
1 10000 100 0.5 2 0.0810000000000004 0.0309118445134295
2 10000 100 0.5 2 0.0899999999999999 0.232474847490819
3 10000 100 0.5 2 0.162999999999999 0.232475314063243
0 10000 100 0.5 3 0.449000000000001 0.0323879190699711
1 10000 100 0.5 3 0.0819999999999999 0.0323879190699708
2 10000 100 0.5 3 0.0909999999999993 0.23249273463881
3 10000 100 0.5 3 0.163 0.23249321918947
