method n p rho rep time mse
0 100 1000 0.1 1 0.048 0.0598442944962986
1 100 1000 0.1 1 0.0899999999999999 0.0598442944962986
2 100 1000 0.1 1 0.00299999999999967 0.0742651985946704
3 100 1000 0.1 1 0.004 0.0742652087873982
0 100 1000 0.1 2 0.032 0.063887502657461
1 100 1000 0.1 2 0.069 0.0638875026574605
2 100 1000 0.1 2 0.00200000000000022 0.0742666124761348
3 100 1000 0.1 2 0.004 0.0742666213492353
0 100 1000 0.1 3 0.028 0.0595688171539576
1 100 1000 0.1 3 0.0589999999999993 0.0595688171539573
2 100 1000 0.1 3 0.00499999999999989 0.0742671759583575
3 100 1000 0.1 3 0.00399999999999956 0.0742671835125416
