method n p rho rep time mse
0 1e+05 100 0.5 1 3.496 0.0306574574201409
1 1e+05 100 0.5 1 0.729 0.0306574574201419
2 1e+05 100 0.5 1 0.853000000000002 0.212572230592119
3 1e+05 100 0.5 1 1.469 0.212576529288762
0 1e+05 100 0.5 2 3.59 0.0316346068097886
1 1e+05 100 0.5 2 0.721 0.0316346068097882
2 1e+05 100 0.5 2 0.837 0.212586796149471
3 1e+05 100 0.5 2 1.458 0.212591034715868
0 1e+05 100 0.5 3 3.531 0.0296065739941766
1 1e+05 100 0.5 3 0.719000000000001 0.0296065739941754
2 1e+05 100 0.5 3 0.913 0.212506040725737
3 1e+05 100 0.5 3 1.47 0.212510300124727
