method n p rho rep time mse
0 10000 5000 0.5 1 214.56 0.0145741200014127
1 10000 5000 0.5 1 1798.571 0.0144509279150242
2 10000 5000 0.5 1 7.06299999999987 0.0268266905984513
3 10000 5000 0.5 1 11.2489999999998 0.0222791653532868
0 10000 5000 0.5 2 162.24 0.0140905526298395
1 10000 5000 0.5 2 1284.395 0.0140214127775446
2 10000 5000 0.5 2 6.27500000000009 0.0251096410042417
3 10000 5000 0.5 2 7.95500000000038 0.0221571340408444
0 10000 5000 0.5 3 90.8739999999998 0.0142201255294556
1 10000 5000 0.5 3 573.582 0.0140709247389195
2 10000 5000 0.5 3 3.52599999999984 0.026840868834115
3 10000 5000 0.5 3 4.62299999999959 0.0222608528664837
