method n p rho rep time mse
0 10000 100 0.9 1 1.057 0.0547042201728339
1 10000 100 0.9 1 0.103000000000001 0.0566071673997795
2 10000 100 0.9 1 0.105 0.232430337272423
3 10000 100 0.9 1 0.207 0.232432735354837
0 10000 100 0.9 2 2.044 0.0521908106091462
1 10000 100 0.9 2 0.116999999999999 0.0521908106091466
2 10000 100 0.9 2 0.106000000000002 0.232441599554292
3 10000 100 0.9 2 0.201000000000001 0.232443914550674
0 10000 100 0.9 3 1.529 0.0524135941889699
1 10000 100 0.9 3 0.135999999999999 0.0524135941889583
2 10000 100 0.9 3 0.106 0.232565079054007
3 10000 100 0.9 3 0.209999999999999 0.232567327721011
