method n p rho rep time mse
0 1000 1000 0.2 1 3.742 0.0548252772207875
1 1000 1000 0.2 1 4.945 0.0548167564365173
2 1000 1000 0.2 1 0.043000000000001 0.074196880244981
3 1000 1000 0.2 1 0.0749999999999993 0.0741969754916901
0 1000 1000 0.2 2 4.134 0.05347459796371
1 1000 1000 0.2 2 5.065 0.0534917146612941
2 1000 1000 0.2 2 0.0410000000000004 0.0742009553055973
3 1000 1000 0.2 2 0.0739999999999981 0.0742010445428673
0 1000 1000 0.2 3 3.746 0.0518550136405199
1 1000 1000 0.2 3 4.677 0.051750488218064
2 1000 1000 0.2 3 0.0419999999999945 0.0742030936619727
3 1000 1000 0.2 3 0.0739999999999981 0.074203183025222
