method n p rho rep time mse
0 100 1000 0.9 1 0.125 0.0655421346851048
1 100 1000 0.9 1 0.318 0.0655421346851056
2 100 1000 0.9 1 0.00499999999999989 0.0742631830533466
3 100 1000 0.9 1 0.00799999999999912 0.0742633280725149
0 100 1000 0.9 2 0.116 0.0713157391694347
1 100 1000 0.9 2 0.31 0.0713157391694331
2 100 1000 0.9 2 0.00499999999999989 0.074267680220294
3 100 1000 0.9 2 0.0120000000000005 0.0742677323099509
0 100 1000 0.9 3 0.128 0.0676526101265765
1 100 1000 0.9 3 0.327999999999999 0.0676526101265794
2 100 1000 0.9 3 0.00400000000000045 0.0742668485309288
3 100 1000 0.9 3 0.00899999999999945 0.0742669254213191
