method n p rho rep time mse
0 100 5000 0.9 1 0.443 0.0323712158024161
1 100 5000 0.9 1 1.093 0.0323712158024162
2 100 5000 0.9 1 0.0150000000000006 0.0332132963431634
3 100 5000 0.9 1 0.0300000000000002 0.0332133915531219
0 100 5000 0.9 2 0.231 0.032037760316768
1 100 5000 0.9 2 1.115 0.032037760316768
2 100 5000 0.9 2 0.016 0.0332129625429336
3 100 5000 0.9 2 0.0280000000000005 0.033213101786039
0 100 5000 0.9 3 0.218999999999999 0.0324062180230877
1 100 5000 0.9 3 1.136 0.0324062180230877
2 100 5000 0.9 3 0.016 0.0332135148811185
3 100 5000 0.9 3 0.0280000000000005 0.0332136349713257
