method n p rho rep time mse
0 100 1000 0.9 1 0.126 0.0698346959686825
1 100 1000 0.9 1 0.258 0.0698346959686825
2 100 1000 0.9 1 0.0430000000000001 0.0740113425430663
3 100 1000 0.9 1 0.0460000000000003 0.0739689646840634
0 100 1000 0.9 2 0.115 0.0678787926850063
1 100 1000 0.9 2 0.266 0.0678787926850064
2 100 1000 0.9 2 0.0430000000000001 0.0739120629983101
3 100 1000 0.9 2 0.0460000000000003 0.0739435807906611
0 100 1000 0.9 3 0.104 0.0676111214605531
1 100 1000 0.9 3 0.241000000000001 0.0676111214605531
2 100 1000 0.9 3 0.0440000000000005 0.0739768215778804
3 100 1000 0.9 3 0.0460000000000003 0.0740014486311306
