method n p rho rep time mse
0 10000 1000 0.95 1 22.301 0.0185192503587717
1 10000 1000 0.95 1 11.479 0.0185192503587751
2 10000 1000 0.95 1 0.658000000000001 0.204130517482868
3 10000 1000 0.95 1 0.889000000000003 0.0551637290943308
0 10000 1000 0.95 2 18.833 0.0190235849729094
1 10000 1000 0.95 2 11.38 0.0190235849729047
2 10000 1000 0.95 2 0.635999999999996 0.185102620847344
3 10000 1000 0.95 2 0.888000000000005 0.0553615366945525
0 10000 1000 0.95 3 20.317 0.0192679288738619
1 10000 1000 0.95 3 11.277 0.0192679288738569
2 10000 1000 0.95 3 0.614999999999995 0.0922201197838009
3 10000 1000 0.95 3 0.887 0.055340065344649
