method n p rho rep time mse
0 100 5000 0.5 1 0.57 0.0316994004400735
1 100 5000 0.5 1 0.855 0.0316994004400736
2 100 5000 0.5 1 0.0149999999999997 0.0332130984104918
3 100 5000 0.5 1 0.0349999999999993 0.0332131254382454
0 100 5000 0.5 2 0.253 0.0301824575927449
1 100 5000 0.5 2 0.633000000000001 0.030182457592745
2 100 5000 0.5 2 0.0179999999999989 0.0332128918996355
3 100 5000 0.5 2 0.032 0.0332129287408582
0 100 5000 0.5 3 0.222 0.0288475560012322
1 100 5000 0.5 3 0.784000000000001 0.0288475560012322
2 100 5000 0.5 3 0.0170000000000012 0.0332126052123057
3 100 5000 0.5 3 0.0279999999999987 0.033212642920146
