method n p rho rep time mse
0 5000 100 0.9 1 1.509 0.051727445159583
1 5000 100 0.9 1 0.0860000000000003 0.0517274451595822
2 5000 100 0.9 1 0.101 0.307504331102346
3 5000 100 0.9 1 0.158 0.0313563998445391
0 5000 100 0.9 2 1.311 0.0544974279799397
1 5000 100 0.9 2 0.0889999999999986 0.0544974279799385
2 5000 100 0.9 2 0.101000000000001 0.254269079939121
3 5000 100 0.9 2 0.16 0.0371396946021943
0 5000 100 0.9 3 1.232 0.051823734625728
1 5000 100 0.9 3 0.0869999999999997 0.0518237346257276
2 5000 100 0.9 3 0.109999999999999 1.02443440336306
3 5000 100 0.9 3 0.176 0.0323124593389853
