method n p rho rep time mse
0 5000 5000 0.2 1 47.819 0.0196971911420875
1 5000 5000 0.2 1 199.069 0.0195621045059013
2 5000 5000 0.2 1 1.38200000000001 0.0252685282524578
3 5000 5000 0.2 1 1.68799999999999 0.0249474848664791
0 5000 5000 0.2 2 28.089 0.0196310867602229
1 5000 5000 0.2 2 169.623 0.0195605674251539
2 5000 5000 0.2 2 1.67500000000001 0.0254479049063876
3 5000 5000 0.2 2 2.06399999999996 0.0250226535357127
0 5000 5000 0.2 3 32.087 0.0196606036664745
1 5000 5000 0.2 3 213.404 0.0196172806679313
2 5000 5000 0.2 3 1.88600000000008 0.0251202555193902
3 5000 5000 0.2 3 2.32399999999996 0.0248705714745541
