method n p rho rep time mse
0 100 50000 0.95 1 5.505 0.0106588870523145
1 100 50000 0.95 1 17.964 0.0106588870523145
2 100 50000 0.95 1 2.629 0.0105029180067122
3 100 50000 0.95 1 2.994 0.0105033974718747
0 100 50000 0.95 2 4.87 0.0105769910385917
1 100 50000 0.95 2 21.154 0.0105769910385917
2 100 50000 0.95 2 2.718 0.0105028098911274
3 100 50000 0.95 2 2.854 0.010503224068821
0 100 50000 0.95 3 5.13799999999999 0.0106008546606183
1 100 50000 0.95 3 19.288 0.0106008546606183
2 100 50000 0.95 3 2.83300000000001 0.0105025566532822
3 100 50000 0.95 3 3.07000000000001 0.0105032799791904
