method n p rho rep time mse
0 1000 20000 0 1 7.949 0.00621356387354098
1 1000 20000 0 1 97.358 0.00621356387354089
2 1000 20000 0 1 2.34100000000001 0.0163547807991541
3 1000 20000 0 1 3.265 0.0163452609852155
0 1000 20000 0 2 8.56599999999999 0.0068160450144069
1 1000 20000 0 2 92.792 0.0068160450144069
2 1000 20000 0 2 2.23500000000001 0.0163584641773288
3 1000 20000 0 2 3.577 0.0163472017581283
0 1000 20000 0 3 8.21899999999999 0.0068747581358523
1 1000 20000 0 3 93.099 0.0068747581358523
2 1000 20000 0 3 2.12399999999997 0.0163519332764809
3 1000 20000 0 3 2.66899999999998 0.0163451669865004
