method n p rho rep time mse
0 1e+05 1000 0.95 1 288.84 0.0184487305902423
1 1e+05 1000 0.95 1 228.71 0.0184487305902515
2 1e+05 1000 0.95 1 8.87899999999991 60.8938001262382
3 1e+05 1000 0.95 1 12.473 0.00916821145936258
0 1e+05 1000 0.95 2 182.034 0.0181188594749422
1 1e+05 1000 0.95 2 152.001 0.0181188594749505
2 1e+05 1000 0.95 2 7.9899999999999 102.692833128659
3 1e+05 1000 0.95 2 9.75700000000006 0.00886148486604448
0 1e+05 1000 0.95 3 128.104 0.0181615043549018
1 1e+05 1000 0.95 3 118.344 0.0181615043549117
2 1e+05 1000 0.95 3 6.35099999999989 74.0007241134199
3 1e+05 1000 0.95 3 8.79899999999998 0.00906543220983274
