method n p rho rep time mse
0 1000 100 0 1 0.121 0.0441754380919264
1 1000 100 0 1 0.0350000000000001 0.0441754380919264
2 1000 100 0 1 0.0289999999999999 0.125525439406727
3 1000 100 0 1 0.0440000000000005 0.070605957738314
0 1000 100 0 2 0.109 0.038886879733994
1 1000 100 0 2 0.0350000000000001 0.038886879733994
2 1000 100 0 2 0.0299999999999994 0.123299500798402
3 1000 100 0 2 0.0440000000000005 0.0737475709780262
0 1000 100 0 3 0.111 0.0430637184075097
1 1000 100 0 3 0.0349999999999993 0.0430637184075097
2 1000 100 0 3 0.0289999999999999 0.130298153103882
3 1000 100 0 3 0.0430000000000001 0.076770779904713
