method n p rho rep time mse
0 1e+06 100 0.95 1 1122.305 0.0719042859298311
1 1e+06 100 0.95 1 11.5229999999999 0.0719042859297001
2 1e+06 100 0.95 1 15.037 0.0130438604976684
3 1e+06 100 0.95 1 24.079 0.0117994175231021
0 1e+06 100 0.95 2 1050.524 0.0746159027763461
1 1e+06 100 0.95 2 40.3020000000001 0.0746159027761795
2 1e+06 100 0.95 2 27.2910000000002 0.0145712542660375
3 1e+06 100 0.95 2 44.4949999999999 0.0132695048589922
0 1e+06 100 0.95 3 1100.793 0.0748002412785109
1 1e+06 100 0.95 3 39.866 0.0748002412783847
2 1e+06 100 0.95 3 16.75 0.0131911840673045
3 1e+06 100 0.95 3 28.145 0.0120753046256586
