method n p rho rep time mse
0 100 50000 0 1 3.019 0.010633290175774
1 100 50000 0 1 7.657 0.0106332901757741
2 100 50000 0 1 2.128 0.0104965641198078
3 100 50000 0 1 2.245 0.0104967679162474
0 100 50000 0 2 1.899 0.0107429084563781
1 100 50000 0 2 6.536 0.0107429084563781
2 100 50000 0 2 1.888 0.0104966666290102
3 100 50000 0 2 1.961 0.0104970846013292
0 100 50000 0 3 1.586 0.011131297504885
1 100 50000 0 3 5.198 0.011131297504885
2 100 50000 0 3 1.944 0.0104967680389048
3 100 50000 0 3 1.962 0.0104965091799021
