method n p rho rep time mse
0 1e+06 100 0.9 1 459.075 0.0555721363237276
1 1e+06 100 0.9 1 28.1100000000001 0.0555721363236338
2 1e+06 100 0.9 1 16.503 0.0117811276207586
3 1e+06 100 0.9 1 27.302 0.0113320109283837
0 1e+06 100 0.9 2 435.129 0.0557028794242531
1 1e+06 100 0.9 2 24.546 0.0557028794241353
2 1e+06 100 0.9 2 13.1090000000002 0.01126381167208
3 1e+06 100 0.9 2 22.2550000000001 0.0108037889376824
0 1e+06 100 0.9 3 410.2 0.055776451827286
1 1e+06 100 0.9 3 16.683 0.0557764518271847
2 1e+06 100 0.9 3 11.9089999999999 0.0127402469638333
3 1e+06 100 0.9 3 20.1089999999999 0.012271745174605
