method n p rho rep time mse
0 100 100 0.5 1 0.093 0.206396855075282
1 100 100 0.5 1 0.052 0.206397123300649
2 100 100 0.5 1 0.00499999999999989 0.198740078750066
3 100 100 0.5 1 0.00599999999999978 0.184136806961096
0 100 100 0.5 2 0.107 0.234875617183996
1 100 100 0.5 2 0.0679999999999996 0.235026832749642
2 100 100 0.5 2 0.00399999999999956 0.174971329127414
3 100 100 0.5 2 0.00499999999999989 0.189216568982275
0 100 100 0.5 3 0.125999999999999 0.259383790069073
1 100 100 0.5 3 0.0829999999999993 0.259259511712905
2 100 100 0.5 3 0.00500000000000078 0.193810772298585
3 100 100 0.5 3 0.00599999999999934 0.189735631242453
