method n p rho rep time mse
0 1000 1000 0.95 1 4.422 0.0648284943829401
1 1000 1000 0.95 1 3.679 0.0648284943829362
2 1000 1000 0.95 1 0.0890000000000004 0.071567682642022
3 1000 1000 0.95 1 0.114000000000001 0.0718154714687235
0 1000 1000 0.95 2 5.253 0.0645697141270124
1 1000 1000 0.95 2 4.553 0.064569714127005
2 1000 1000 0.95 2 0.0910000000000011 0.0713307434994244
3 1000 1000 0.95 2 0.113 0.0717834357797014
0 1000 1000 0.95 3 5.308 0.0641630185535799
1 1000 1000 0.95 3 4.71 0.0641630185535753
2 1000 1000 0.95 3 0.0900000000000034 0.0722374693010645
3 1000 1000 0.95 3 0.114000000000004 0.0718384344853204
