method n p rho rep time mse
0 5000 20000 0.9 1 27.067 0.0135077945041693
1 5000 20000 0.9 1 66.678 0.0135077945041693
2 5000 20000 0.9 1 8.50300000000001 0.0176409461304357
3 5000 20000 0.9 1 11.588 0.0163691390802184
0 5000 20000 0.9 2 28.33 0.0133457169559689
1 5000 20000 0.9 2 62.596 0.0133457169559689
2 5000 20000 0.9 2 9.89099999999999 0.0229958940585949
3 5000 20000 0.9 2 12.36 0.0163660400871598
0 5000 20000 0.9 3 27.285 0.0136192724657362
1 5000 20000 0.9 3 64.959 0.0136192724657362
2 5000 20000 0.9 3 6.60200000000003 0.0192734641858783
3 5000 20000 0.9 3 9.05500000000001 0.0163689849304911
