method n p rho rep time mse
0 100 50000 0.2 1 1.215 0.010280206172135
1 100 50000 0.2 1 3.111 0.010280206172135
2 100 50000 0.2 1 1.377 0.0104985620066788
3 100 50000 0.2 1 1.434 0.0104987362039578
0 100 50000 0.2 2 0.984 0.0102551487380544
1 100 50000 0.2 2 3.565 0.0102551487380544
2 100 50000 0.2 2 1.341 0.0104983366130365
3 100 50000 0.2 2 1.415 0.0104984376812497
0 100 50000 0.2 3 1.148 0.0103640622817467
1 100 50000 0.2 3 3.154 0.0103640622817466
2 100 50000 0.2 3 1.445 0.0104979775520928
3 100 50000 0.2 3 1.428 0.0104984425471282
