method n p rho rep time mse
0 10000 5000 0.2 1 31.975 0.0141272896314696
1 10000 5000 0.2 1 244.277 0.0139921263595914
2 10000 5000 0.2 1 2.36700000000002 0.0208789457409516
3 10000 5000 0.2 1 3.19799999999998 0.0193554574251722
0 10000 5000 0.2 2 33.675 0.0140293075956992
1 10000 5000 0.2 2 275.098 0.0139528431081214
2 10000 5000 0.2 2 2.37900000000002 0.0208313522349253
3 10000 5000 0.2 2 3.15999999999997 0.019420625116409
0 10000 5000 0.2 3 30.72 0.014040705309425
1 10000 5000 0.2 3 230.988 0.0139993041718202
2 10000 5000 0.2 3 2.23500000000001 0.0213398678095098
3 10000 5000 0.2 3 2.91800000000001 0.0194515428691619
