method n p rho rep time mse
0 1000 5000 0.2 1 2.685 0.0133187242614498
1 1000 5000 0.2 1 20.89 0.0133187242614498
2 1000 5000 0.2 1 0.568000000000001 0.0311858550840506
3 1000 5000 0.2 1 0.709 0.0311700598908989
0 1000 5000 0.2 2 2.735 0.0144080172195633
1 1000 5000 0.2 2 19.631 0.0144080172195631
2 1000 5000 0.2 2 0.529000000000003 0.0311543065752351
3 1000 5000 0.2 2 0.715000000000003 0.031229154340148
0 1000 5000 0.2 3 2.245 0.0139989430095653
1 1000 5000 0.2 3 18.96 0.0139989430095652
2 1000 5000 0.2 3 0.550000000000011 0.0311844809729595
3 1000 5000 0.2 3 0.689999999999998 0.0312626012724499
