method n p rho rep time mse
0 5000 100 0.1 1 0.302 0.0285623580831221
1 5000 100 0.1 1 0.0699999999999998 0.0285623580831223
2 5000 100 0.1 1 0.0739999999999998 0.233696903576389
3 5000 100 0.1 1 0.142 0.233697036286069
0 5000 100 0.1 2 0.165 0.0302372744155442
1 5000 100 0.1 2 0.0430000000000001 0.030237274415544
2 5000 100 0.1 2 0.0439999999999996 0.233687440069222
3 5000 100 0.1 2 0.0800000000000001 0.233687573881462
0 5000 100 0.1 3 0.175000000000001 0.0244363607443907
1 5000 100 0.1 3 0.0430000000000001 0.0244363607443906
2 5000 100 0.1 3 0.0439999999999996 0.233706880886782
3 5000 100 0.1 3 0.0810000000000004 0.233707012072192
