method n p rho rep time mse
0 1000 1000 0.1 1 2.017 0.0547921574356301
1 1000 1000 0.1 1 2.245 0.0547905747609232
2 1000 1000 0.1 1 0.0869999999999997 0.0568140052359922
3 1000 1000 0.1 1 0.112 0.0559471834783734
0 1000 1000 0.1 2 1.86 0.0530730253551002
1 1000 1000 0.1 2 2.106 0.0530413892668772
2 1000 1000 0.1 2 0.0890000000000004 0.0549445646139476
3 1000 1000 0.1 2 0.113 0.0555050072099726
0 1000 1000 0.1 3 1.903 0.0514819801071542
1 1000 1000 0.1 3 2.16 0.0514479938213833
2 1000 1000 0.1 3 0.0890000000000022 0.0561838007447386
3 1000 1000 0.1 3 0.113 0.0553221055232304
