method n p rho rep time mse
0 100 5000 0 1 0.386 0.0329694044149502
1 100 5000 0 1 0.414000000000001 0.0329694044149502
2 100 5000 0 1 0.249 0.033044188185107
3 100 5000 0 1 0.257000000000001 0.0330453710328392
0 100 5000 0 2 0.157 0.0332196024453121
1 100 5000 0 2 0.411 0.0332196024453121
2 100 5000 0 2 0.177 0.0330399707227306
3 100 5000 0 2 0.186 0.0330224239274575
0 100 5000 0 3 0.149 0.0306289042089597
1 100 5000 0 3 0.387 0.0306289042089595
2 100 5000 0 3 0.181000000000001 0.0330420313090513
3 100 5000 0 3 0.191000000000001 0.0330466135196514
