method n p rho rep time mse
0 1000 100 0.1 1 0.0529999999999999 0.0401519676744181
1 1000 100 0.1 1 0.0140000000000002 0.040151967674418
2 1000 100 0.1 1 0.0129999999999999 0.128882612365916
3 1000 100 0.1 1 0.0190000000000001 0.0708126849364994
0 1000 100 0.1 2 0.0420000000000003 0.0431546259196414
1 1000 100 0.1 2 0.0139999999999998 0.0431546259196413
2 1000 100 0.1 2 0.0129999999999999 0.115308158952752
3 1000 100 0.1 2 0.02 0.0646342893962645
0 1000 100 0.1 3 0.0429999999999997 0.0379030725549808
1 1000 100 0.1 3 0.0139999999999998 0.0379030725549808
2 1000 100 0.1 3 0.0129999999999999 0.1156156302977
3 1000 100 0.1 3 0.02 0.0733611380078421
