method n p rho rep time mse
0 1000 50000 0.95 1 24.917 0.00976418165168198
1 1000 50000 0.95 1 52.329 0.00976418165168199
2 1000 50000 0.95 1 4.74400000000001 0.0105465907863504
3 1000 50000 0.95 1 5.38900000000001 0.0104972976302152
0 1000 50000 0.95 2 43.364 0.00978298523050278
1 1000 50000 0.95 2 50.245 0.00978298523050278
2 1000 50000 0.95 2 4.96599999999998 0.0105168342741958
3 1000 50000 0.95 2 5.77699999999999 0.010497486546642
0 1000 50000 0.95 3 25.945 0.0097164087509658
1 1000 50000 0.95 3 43.884 0.00971640875096581
2 1000 50000 0.95 3 4.53100000000001 0.0105197199490378
3 1000 50000 0.95 3 5.74700000000001 0.010497459564498
