method n p rho rep time mse
0 100 20000 0 1 0.542 0.0166852785622407
1 100 20000 0 1 1.129 0.0166852785622405
2 100 20000 0 1 0.629 0.0165764850415616
3 100 20000 0 1 0.645 0.0165787168751732
0 100 20000 0 2 0.356000000000001 0.0157015514600371
1 100 20000 0 2 1.132 0.0157015514600371
2 100 20000 0 2 0.622 0.0165761143181283
3 100 20000 0 2 0.648 0.0165772467140136
0 100 20000 0 3 0.356 0.0164109049547812
1 100 20000 0 3 0.973000000000001 0.0164109049547812
2 100 20000 0 3 0.620000000000001 0.0165766989173604
3 100 20000 0 3 0.640000000000001 0.0165754206546993
